text,author
Поиски были бесполезны.,Unknown
"Должно думать, что сия необыкновенная сцена подействовала на самых исполнителей приговора, ибо солдаты потеряли меткость.",Unknown
"Пособим им, — вперед, ура!",Unknown
"Привязанность их к старому порядку вещей, выгоды, получаемые от злоупотреблений, внушают им ненависть ко всякой перемене и заставляют думать, что каждое нововведение есть уже начало анархии, что желающий улучшения есть более нежели анархист, и потому способен быть убийцею, грабителем, одним словом,— противуобщественным человеком.",Unknown
— Они в том не могли себе сначала дать ясного отчета.,Unknown
Унтер-офицер Какауров выполнил возложенную на него обязанность как следовало умному и расторопному солдату; но поведение Башмакова и Фурмана заслуживает самое строгое порицание 32.,Unknown
Никто не оставил рядов и каждый ожидал с нетерпением минуты лететь за славою или смертью.,Unknown
"Приехав в Житомир рано утром 25 декабря, он явился к корпусному командиру, который пригласил его к себе на обед.",Unknown
Было довольно поздно: они уже спали.,Unknown
"Сии происшествия поселили в умах неизвестность и сомнение, весьма споспешествующее замышляемому перевороту.",Unknown
"В полночь того же числа прибыл туда Гебель с жандармским офицером Лангом и, узнав, что С. Муравьев и брат его Матвей остановились на квартире Кузьмина, он собрал часть квартировавшей там роты, окружил дом, вошел тихонько в комнату, в которой оба Муравьева спокойно спали, взял пистолеты, лежавигие на столе, и потом, разбудивши их, объявил им повеление об аресте.",Unknown
"Родители сей девицы согласились на их брак, Грохольский был уже обручен и ожидал только перемены своей участи, чтобы назвать ее своею, но восстание С. Муравьева разрушило счастие двух любовников.",Unknown
"Черниговского полка; после разбития С. Муравьева я бежал, скрывался до сих пор в Кишиневе и других местах, я с радостью отдаюсь в руки правительства; мне тягостно мое положение.",Unknown
"Наконец отдал ему третье письмо, адресованное на имя одного поляка.",Unknown
Телесные истязания заставили Голикова признаться и по его показанию ввечеру 24 мая Сухинов и его товарищи были взяты под стражу.,Unknown
1-й выехал из Новоград-Волынска уже поздно вечером 1 января.,Unknown
"Они отправились в Москву полуодетые, имея при себе 2 рубля серебром.",Unknown
"Потом, прочитав письмо и узнав от Мозалевского некоторые подробности, спросил:  — Куда намерен идти С. Муравьев и надеется ли на помощь других членов?",Unknown
"В Траянове Андреевич узнал, что С. Муравьев поехал в Любар, почему, не останавливаясь ни на одну минуту, он пустился в дорогу.",Unknown
"Будьте осторожны, старайтесь всеми средствами скрыть ваш приезд, как от киевских жителей, так и от тамошнего местного начальства.",Unknown
Горбачевского.,Unknown
"Долг истины заставляет сказать, что сие вовсе не справедливо.",Unknown
"При первом удобном случае они спросили Сухинова, в чем состоят его сношения с Голиковым и что значат частые посещения сего ссыльного и его товарища Бочарова.",Unknown
"Он обещал С. Муравьеву, с помощью (своего) товарища Молчанова, взбунтовать если не весь егерский полк, то, по крайней мере, батальон, и в ту же минуту отправился с площади в Белую Церковь для приведения в действие своего намерения.",Unknown
"Мысли их были заняты другим предметом: они с нетерпением ожидали Соловьева и Щепиллы, которые с таким же чувством летели к ним на помощь и скоро достигли Трилес.",Unknown
"не будет новостью для славян, однако ж во всех своих разговорах они никогда не упоминали о сей мере и на 4-м только совещании, как мы видели, Бестужев, увлеченный энтузиазмом, в первый раз в присутствии славян вскрикнул: «Тогда тиран падет под нашими ударами».",Unknown
"С. Муравьев со своим отрядом, оставив вправо и влево дороги, идущие из Ковалевки в Трилесы, чрез деревни, для сокращения пути избрал дорогу, проложенную прямо через степь.",Unknown
"Зинькевич отвечал почти положительно, но был прерван приходом Давыдова, который, поговорив с Зинькевичем, вывел его тотчас в другую комнату.",Unknown
"Когда же с Кузьмина сняли шинель и мундир, то увидели, что правое плечо раздроблено картечною пулею, которая вышла ниже лопатки,— все нижнее платье было в крови.",Unknown
"Он был убежден, что откровенность и чистосердечие подействуют на русского солдата более, нежели все хитрости махиавелизма.",Unknown
"Соловьев схватил на земпе лежавшее ружье и сделал наступательное движение, которое заставило опомниться бешеного солдата: он удалился, не сказав ни слова.",Unknown
"Члены Общества, по принятому ими намерению, остались в Василькове и, отпустив свои роты в деревни, приказали им по первому приказу явиться в цолной боевой и походной амуниции туда, куда потребуют их ротные начальники.",Unknown
"Его характер, твердый и настойчивый, на терпел отлагательства; предаться на произвол судьбы и ожидать спокойно от нее одной — было для него величайшим несчастием.",Unknown
Город был окружен военною цепью: он отпустил извозчика и пешком прошел заставу.,Unknown
"Видя, что они готовы разделить с ним все опасности предприятия, он приказал фельдфебелю собрать роту.",Unknown
"— Это лишние хлопоты, рана моя легкая, — сказал, улыбаясь, Кузьмин, — я вылечусь без перевязки и пластыря.",Unknown
"Гебель встретил Кузьмина выговором за отлучку из роты, а Сухинова — за неявку к новому своему назначению.",Unknown
"Никто не слыхал выстрела, нигде не было видно не только орудий, но даже ни одного неприятельского солдата, между тем в колонне произошло волнение и солдаты начали толковать, спорить, теряясь в догадках.",Unknown
Черниговцы обрадовались.,Unknown
"При наступлении вечера Сухинов взял несколько надежных солдат и, составив из них конный отряд, отправился к Белой Церкви.",Unknown
Андреевич удивился.,Unknown
"Не разбирая, на кого падет их мщение, они ожидали минуты с нетерпением; ни просьбы генерала Вуреде, ни его угрозы, ни просьбы офицеров — ничто не могло остановить ярости бешеных солдат; удары сыпались градом; они не били сих несчастных, но рвали кусками мясо с каким-то наслаждением; Грохольского и Ракузу вынесли из линии почти мертвыми.",Unknown
"Щецилло, увидя Ланга и думая, что он подслушал их разговор, схватил ружье, стоявшее в углу сеней, и хотел его смертью начать предполагаемое действие.",Unknown
"Капитан Тютчев выступил с ротою 4 января в поход, следуя с батальоном Пензенского полка в Житомир для занятия караулов при корпусной квартире.",Unknown
Это было второй час ночи.,Unknown
"Из судившихся военным судом пятеро было расстреляно (шестой, Сухинов, избегнул сей участи самоубийством).",Unknown
"Кузьмин удалился, но жизнь не оставила Гебеля.",Unknown
Члены Общества пользовались сими важными событиями для ускорения своего дела.,Unknown
"А к Горбачевскому в 8-ю бригаду:  «Если не удастся мне привести к вам Пензенский полк, то я сам приеду; будучи вместе, мы скорее придумаем, что должны делать в таких обстоятельствах».",Unknown
"Слова его смутили Соловьева, он чувствовал всю справедливость сего замечания, но, желая успокоить солдат, хладнокровно сказал:  — Подполковник лучше нас знает, что делать: надобно подождать, а тем временем проведать, какие полки идут против нас.",Unknown
"— Это отчасти правда,— отвечал С. Муравьев, — но однако ж еще не мы одни главные члены Общества.",Unknown
"— Жаль, — возразил Кузьмин.— Я думаю лучше скорее начать, — пустые толки ни к чему не ведут.",Unknown
Разговор снова переменился.,Unknown
"Природные его дарования были развиты занятиями, деятельною жизнию и желанием образовать себя еще более.",Unknown
"Потом спросил их, чувствуют ли они довольно мужества, чтобы отважиться на столь смелый и великий подвиг.",Unknown
"В это самое время Соловьев, увидя недалеко от себя С. Муравьева, идущего тихими магами к обозу, подбежал к нему, чтобы подать ему помощь.",Unknown
"В назначенное время пять рот, а именно: 1-го батальона 3-я мушкетерская, 2-го батальона — 2-я гренадерская, 4-я, 5-я и 6-я мушкетерские роты пришли на сборное место в полной походной амуниции.",Unknown
"Они сражаются за вашу свободу, за свободу России; они надеются на нашу помощь.",Unknown
"Не взирая на это, он знал, что, по свидетельству других, он подвергается позорному наказанию и дабы предупредить оное, он вознамерился лишить себя жизни, которая давно уже сделалась для него тяжким бременем.",Unknown
"Славяне, убежденные в том, что надежды их не могут так скоро исполниться, как они того желали, не хотели терять времени в пустых и невозможных усилиях; но вознамерились сделать все, что зависит от них и ведет, хотя медленно, к предпринятой цели.",Unknown
"Это одно объясняет, почему многие из славян показывали в Следственной комиссии, что злоумышление на царствующий дом было известно всем славянам, и что об этом было говорено неоднократно; между тем Борисов 2-й, Горбачевский и еще некоторые всеми силами отрицали сии показания и на их стороне была справедливость.",Unknown
Да здравствует народ!,Unknown
"Подошед к ней, С. Муравьев приветствовал солдат дружелюбно и потом, в коротких словах, изложил им цель восстания и представил, сколь благородно и возвышенно пожертвовать жизнью за свободу.",Unknown
"Муравьев думал иначе: ему казалось не только бесполезным, но даже опасным открывать солдатам что-либо клонящееся к цели Общества; что они отнюдь не в состоянии понять выгод переворота; что республиканское правление, равенство сословий и избрание чиновников будет для них загадкою сфинкса.",Unknown
"В роковую ночь, по пробитии зари, когда в тюрьме погасили огни и когда беззаботные преступники, не думая, что ожидает их завтра, предались сну, — Сухинов отвязал ремень, на котором поддерживал свои железа, прикрепил оный к помянутому гвоздю, набросил на свою шею петлю и, спустив ноги с нар, — повесился.",Unknown
"В конце 1824 года тайное общество под названием Славянского союза или Соединенных славян состояло из малого числа членов, рассеянных по разным местам Южной России.",Unknown
Соловьев их не слушал и тем отвратил их от сего бесполезного действия.,Unknown
"По приказанию генерала Гейсмара, гусары окружили офицеров и раненых солдат и отобрали от них оружие.",Unknown
"В сей речи он доказывал пользу соединения двух Обществ, сильно говорил о необходимости переворота в России и красноречиво убеждал в несомненном успехе оного.",Unknown
При сем движении болезненное выражение изобразилось на лице его товарища.,Unknown
"Андреевич, ни минуты не медля, поскакал по дороге к Житомиру.",Unknown
"По окончании сей церемонии Соловьев и его товарищи были сданы офицеру инвалидной команды, который их отвел в городскую тюрьму.",Unknown
"Чрез несколько дней он добрался до селения Каменки, принадлежащего полковнику Василию Львовичу Давыдову.",Unknown
— выкрикнуло несколько голосов.,Unknown
